1f9d1-1f3ff-200d-2764-200d-1f9d1-1f3fb,couple_with_heart_person_person_dark_skin_tone_light_skin_tone
1f9d1-1f3ff-200d-2764-200d-1f48b-200d-1f9d1-1f3fe,kiss_person_person_dark_skin_tone_medium-dark_skin_tone
1f9d1-1f3ff-200d-2764-200d-1f48b-200d-1f9d1-1f3fd,kiss_person_person_dark_skin_tone_medium_skin_tone
1f9d1-1f3ff-200d-2764-200d-1f48b-200d-1f9d1-1f3fc,kiss_person_person_dark_skin_tone_medium-light_skin_tone
1f9d1-1f3ff-200d-2764-200d-1f48b-200d-1f9d1-1f3fb,kiss_person_person_dark_skin_tone_light_skin_tone
1f9d1-1f3ff-200d-2708,pilot_dark_skin_tone
1f9d1-1f3ff-200d-2696,judge_dark_skin_tone
1f9d1-1f3ff-200d-2695,health_worker_dark_skin_tone
1f9d1-1f3ff-200d-1f9bd,person_in_manual_wheelchair_dark_skin_tone
1f9d1-1f3ff-200d-1f9bc,person_in_motorized_wheelchair_dark_skin_tone
1f9d1-1f3ff-200d-1f9b3,person_dark_skin_tone_white_hair
1f9d1-1f3ff-200d-1f9b2,person_dark_skin_tone_bald
1f9d1-1f3ff-200d-1f9b1,person_dark_skin_tone_curly_hair
1f9d1-1f3ff-200d-1f9b0,person_dark_skin_tone_red_hair
1f9d1-1f3ff-200d-1f9af,person_with_white_cane_dark_skin_tone
1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3ff,people_holding_hands_dark_skin_tone
1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3fe,people_holding_hands_dark_skin_tone_medium-dark_skin_tone
1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3fd,people_holding_hands_dark_skin_tone_medium_skin_tone
1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3fc,people_holding_hands_dark_skin_tone_medium-light_skin_tone
1f9d1-1f3ff-200d-1f91d-200d-1f9d1-1f3fb,people_holding_hands_dark_skin_tone_light_skin_tone
1f9d1-1f3ff-200d-1f692,firefighter_dark_skin_tone
1f9d1-1f3ff-200d-1f680,astronaut_dark_skin_tone
1f9d1-1f3ff-200d-1f52c,scientist_dark_skin_tone
1f9d1-1f3ff-200d-1f527,mechanic_dark_skin_tone
1f9d1-1f3ff-200d-1f4bc,office_worker_dark_skin_tone
1f9d1-1f3ff-200d-1f4bb,technologist_dark_skin_tone
1f9d1-1f3ff-200d-1f3ed,factory_worker_dark_skin_tone
1f9d1-1f3ff-200d-1f3eb,teacher_dark_skin_tone
1f9d1-1f3ff-200d-1f3a8,artist_dark_skin_tone
1f9d1-1f3ff-200d-1f3a4,singer_dark_skin_tone
1f9d1-1f3ff-200d-1f393,student_dark_skin_tone
1f9d1-1f3ff-200d-1f384,mx_claus_dark_skin_tone
1f9d1-1f3ff-200d-1f37c,person_feeding_baby_dark_skin_tone
1f9d1-1f3ff-200d-1f373,cook_dark_skin_tone
1f9d1-1f3ff-200d-1f33e,farmer_dark_skin_tone
1f9d1-1f3ff,person_dark_skin_tone
1f9d1-1f3fe-200d-2764-200d-1f9d1-1f3ff,couple_with_heart_person_person_medium-dark_skin_tone_dark_skin_tone
1f9d1-1f3fe-200d-2764-200d-1f9d1-1f3fd,couple_with_heart_person_person_medium-dark_skin_tone_medium_skin_tone
1f9d1-1f3fe-200d-2764-200d-1f9d1-1f3fc,couple_with_heart_person_person_medium-dark_skin_tone_medium-light_skin_tone
